source,target,source_type,target_type,relation_type,scene,weight,Intrument 1,Intrument 2,Intrument 3,Intrument 4
10 Minute Warning,Steve Verwolf,band,person,member_of,"Seattle, WA",2,vocals,,,
10 Minute Warning,Chrisopher Blue,band,person,member_of,"Seattle, WA",2,vocals,,,
10 Minute Warning,Paul Solger,band,person,member_of,"Seattle, WA",2,guitar,,,
10 Minute Warning,Duff McKagan,band,person,member_of,"Seattle, WA",2,guitar,,,
10 Minute Warning,Greg Gilmore,band,person,member_of,"Seattle, WA",2,drums,,,
10 Minute Warning,David Garrigues,band,person,member_of,"Seattle, WA",2,bass,,,
10 Minute Warning,Daniel House,band,person,member_of,"Seattle, WA",2,bass,,,
10 Minute Warning,Jim Lightfoot,band,person,member_of,"Seattle, WA",2,bass,,,
7 Year Bitch,Val Ium,band,person,member_of,"Seattle, WA",2,Core member,,,
7 Year Bitch,Selene Vigil,band,person,member_of,"Seattle, WA",2,bass,,,
7 Year Bitch,Elizabeth Davis,band,person,member_of,"Seattle, WA",2,guitar,,,
7 Year Bitch,Gina Crossey,band,person,member_of,"Seattle, WA",2,drums,,,
Alice in Chains,Layne Staley,band,person,member_of,"Seattle, WA",1,vocals,,,
Alice in Chains,Jerry Cantrell,band,person,member_of,"Seattle, WA",1,guitar,,,
Alice in Chains,Sean Kinney,band,person,member_of,"Seattle, WA",1,drums,,,
Alice in Chains,Mike Inez,band,person,member_of,"Seattle, WA",2,bass,,,
Alice in Chains,William Duvall,band,person,member_of,"Seattle, WA",2,vocals,,,
Alice in Chains,Mike Starr,band,person,member_of,"Seattle, WA",1,bass,,,
Arcadia,Simon Le Bon,band,person,member_of,"Birmingham, EN",1,vocals,,,
Arcadia,Nick Rhodes,band,person,member_of,"Birmingham, EN",1,keyboards,,,
Arcadia,Roger Taylor,band,person,member_of,"Birmingham, EN",1,drums,,,
Arcadia,Carlos Alomar,band,person,member_of,"Birmingham, EN",3,guitar,,,
Arcadia,Pierre Defaye,band,person,member_of,"Birmingham, EN",3,violin,,,
Arcadia,Rafael De Jesus,band,person,member_of,"Birmingham, EN",3,percussion,,,
Arcadia,Jean-Claude Dubois,band,person,member_of,"Birmingham, EN",3,harp,,,
Arcadia,Mark Egan,band,person,member_of,"Birmingham, EN",3,bass,,,
Arcadia,David Gilmour,band,person,member_of,"Birmingham, EN",3,guitar,,,
Arcadia,Herbie Hancock,band,person,member_of,"Birmingham, EN",3,piano,,,
Arcadia,Steve Jordan,band,person,member_of,"Birmingham, EN",3,percussion,,,
Arcadia,Grace Jones,band,person,member_of,"Birmingham, EN",3,voice,,,
Arcadia,Andy Mackay,band,person,member_of,"Birmingham, EN",3,saxophone,,,
Arcadia,Masami Tsuchiya,band,person,member_of,"Birmingham, EN",3,guitar,violin,,
Arcadia,Sting,band,person,member_of,"Birmingham, EN",3,vocals,,,
Arcadia,David Van Tieghem,band,person,member_of,"Birmingham, EN",3,percussion,,,
Ayron Jones,Ayron Jones,band,person,member_of,"Seattle, WA",1,vocals,guitar,,
Bitter End,Matt Fox,band,person,member_of,"Seattle, WA",1,vocals,guitar,,
Bitter End,Chris Fox,band,person,member_of,"Seattle, WA",1,bass,,,
Bitter End,Harry Dearinger,band,person,member_of,"Seattle, WA",1,drums,,,
Bitter End,Russ Stefanovich,band,person,member_of,"Seattle, WA",2,guitar,,,
Black Box Recovery Unit,Aaron McRae,band,person,member_of,"Seattle, WA",1,bass,,,
Black Box Recovery Unit,Matt Ashman,band,person,member_of,"Seattle, WA",1,drums,,,
Black Box Recovery Unit,Shane Spellman,band,person,member_of,"Seattle, WA",1,guitar,,,
Black Box Recovery Unit,Elijah,band,person,member_of,"Seattle, WA",1,guitar,,,
Blind Melon,Rogers Stevens,band,person,member_of,"Seattle, WA",2,guitar,,,
Blind Melon,Christopher Thorn,band,person,member_of,"Seattle, WA",2,guitar,,,
Blind Melon,Glen Graham,band,person,member_of,"Seattle, WA",2,drums,,,
Blind Melon,Travis Warren,band,person,member_of,"Seattle, WA",2,vocals,guitar,,
Blind Melon,Nathan Towne,band,person,member_of,"Seattle, WA",2,bass,,,
Blind Melon,Shannon Hoon,band,person,member_of,"Seattle, WA",2,vocals,,,
Blind Melon,Brad Smith,band,person,member_of,"Seattle, WA",2,bass,vocals,,
Blind Melon,Chris Shinn,band,person,member_of,"Seattle, WA",2,vocals,guitar,,
Botch,Brian Cook,band,person,member_of,"Seattle, WA",1,bass,,,
Botch,Dave Knudson,band,person,member_of,"Seattle, WA",1,guitar,,,
Botch,Tim Latona,band,person,member_of,"Seattle, WA",1,drums,,,
Botch,Dave Verellen,band,person,member_of,"Seattle, WA",1,vocals,,,
Brad,Shawn Smith,band,person,member_of,"Seattle, WA",1,vocals,guitar,,
